TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
HER;Romance, Ficção científica, Drama;2013;14
JACK RYAN: SHADOW RECRUIT;Ação, Drama, Thriller;2014;14
JUSTIN BIEBER- BELIEVE;Documentário, Música;2013;Sem Classificacao
TINKER BELL AND THE PIRATE FAIRY;Animação, Família;2014;L
DALLAS BUYERS CLUB;Drama, História;2013;14
AMERICAN SNIPER;Guerra, Ação;2014;16
FIFTY SHADES OF GREY;Drama, Romance, Thriller;2015;16
FURY;Guerra, Drama, Ação;2014;16
JUPITER ASCENDING;Ficção científica, Fantasia, Ação;2015;12
SUPERPAI;Comédia;2015;Sem Classificacao
THE SPONGEBOB MOVIE: SPONGE OUT OF WATER;Aventura, Animação, Comédia, Família, Fantasia;2015;L
TINKERBELL AND THE LEGEND OF THE NEVERBEAST;Aventura, Animação, Família;2014;L
DEADPOOL;Ação, Comédia, Ficção científica;2024;18
GODS OF EGYPT;Ação, Aventura, Fantasia;2016;12
THE BOY;Romance, Comédia, Drama;2025;14
THE REVENANT;Faroeste, Drama, Aventura;2015;16
UM SUBURBANO SORTUDO;Comédia;2016;Sem Classificacao
THE DANISH GIRL;Drama;2015;14
ROOM;Drama, Thriller;2015;14
SOLACE;Aventura, Ação, Thriller;2008;14
ALLIED;Ação, Drama, Guerra, Romance, Thriller;2016;14
FIFTY SHADES DARKER;Drama, Romance;2017;16
HIDDEN FIGURES;Drama, História;2016;L
INTERNET - O FILME;Comédia;2017;14
JOHN WICK: CHAPTER 2;Ação, Thriller, Crime;2017;16
MONSTER TRUCKS;Ação, Comédia, Ficção científica;2016;L
RINGS;Aventura, Fantasia, Ação;2003;12
THE GREAT WALL;Ação, Aventura, Fantasia;2016;12
THE LEGO BATMAN MOVIE;Animação, Ação, Comédia, Família;2017;L
TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA;Comédia;2017;14
LION;Animação, Família, Drama;1994;L
MOONLIGHT;Drama;2016;16
FENCES;Drama;2016;12
BLACK PANTHER;Ação, Aventura, Ficção científica;2018;14
FIFTY SHADES FREED;Drama, Romance;2018;16
PADDINGTON 2;Aventura, Comédia, Família;2017;L
THE SHAPE OF WATER;Drama, Fantasia, Romance;2017;16
MOLLY'S GAME;Drama, Crime;2017;14
THREE BILLBOARDS OUTSIDE EBBING, MISSOURI;Crime, Drama;2017;16
LADY BIRD;Drama, Comédia;2017;14
PHANTOM THREAD;Drama, Romance;2017;12
A DOG´S WAY HOME;Drama, Aventura, Família;2019;L
ALITA: BATTLE ANGEL;Ação, Ficção científica, Aventura;2019;14
CINDERELA POP;Romance, Comédia;2019;L
ESCAPE ROOM;Terror, Thriller, Fantasia;2017;Sem Classificacao
HAPPY DEATH DAY 2U;Comédia, Terror, Ficção científica;2019;14
MINHA FAMA DE MAU;Drama, Música, História;2019;Sem Classificacao
SAI DE BAIXO, O FILME;Comédia;2019;Sem Classificacao
THE LEGO MOVIE 2: THE SECOND PART;Ação, Aventura, Animação, Comédia, Família;2019;L
THE MULE;Crime, Drama;2018;16
AT ETERNITY'S GATE;Drama, História;2018;12
EVERYBODY KNOWS;Documentário;2016;Sem Classificacao
BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN);Ação, Crime;2020;16
CALL OF THE WILD;Aventura, Família, Drama;2020;12
COUNTDOWN;Terror, Thriller;2019;14
DOLITTLE;Família, Comédia, Fantasia, Aventura;2020;10
GRETEL & HANSEL (2020);Fantasia, Terror, Mistério;2020;14
SONIC THE HEDGEHOG;Ação, Ficção científica, Comédia, Família;2024;12
THE GRUDGE;Terror, Mistério;2019;16
THE INVISIBLE MAN;Thriller, Ficção científica, Terror;2020;14
DARK WATERS;Drama, Thriller;2019;Sem Classificacao
JUST MERCY;Drama, Crime, História;2019;14
MONSTER HUNTER;Ação, Fantasia, Aventura;2020;12
THE WIDOW;Drama, Música;1952;Sem Classificacao
TOM & JERRY;Ação, Thriller;2026;16
FOLLOW ME;Comédia, Romance;1972;Sem Classificacao
I STILL BELIEVE;Música, Drama, Romance;2020;10
DEATH ON THE NILE;Mistério, Crime, Thriller;2022;14
FIREHEART;Animação, Aventura, Família, Comédia;2022;L
MOONFALL;Ficção científica, Aventura, Ação;2022;14
THE EXORCISM OF GOD;Terror, Crime, Drama, Fantasia;2022;16
TÔ RYCA! 2;Comédia, Família;2022;12
UNCHARTED;Ação, Aventura, Mistério;2022;12
13 EXORCISMOS;Drama, Terror;2022;16
ANT-MAN AND THE WASP: QUANTUMANIA;Ação, Aventura, Ficção científica;2023;L
DESAPEGA;Comédia, Romance;2023;10
KNOCK AT THE CABIN;Terror, Mistério, Thriller;2023;16
MUMMIES;Terror, Ação;2006;Sem Classificacao
THE OFFERING;Drama, Terror;2022;Sem Classificacao
TITANIC;Drama, Romance;1997;12
EVERYTHING EVERYWHERE ALL AT ONCE;Ação, Aventura, Ficção científica;2022;14
MAYBE I DO;Comédia, Romance, Drama;2023;Sem Classificacao
PEARL;Terror, Drama, Thriller;2022;18
THE AMAZING MAURICE;Animação, Aventura, Comédia, Família, Fantasia;2022;L
THE WHALE;Drama;2022;16
THE BANSHEES OF INISHERIN;Drama, Comédia;2022;16
TRIANGLE OF SADNESS;Comédia, Drama;2022;14
ARGYLLE;Ação, Aventura, Comédia;2024;14
BAGHEAD;Terror;2023;14
BOB MARLEY: ONE LOVE;Música, História, Drama;2024;16
DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING;Ação, Animação, Fantasia, Thriller;2024;16
DUNE: PART TWO;Ficção científica, Aventura;2024;14
FERRARI;Drama, Ação, História;2019;12
LAND OF BAD;Ação, Guerra, Thriller;2024;16
MADAME WEB;Ação, Fantasia;2024;14
MASHA AND THE BEAR - TWICE THE FUN;Animação, Família;2023;Sem Classificacao
POOR THINGS;Ficção científica, Romance, Comédia;2023;18
THE BOY AND THE HERON;Animação, Fantasia, Drama;2023;10
THE ZONE OF INTEREST;Drama, História, Guerra;2023;14
PERFECT DAYS;Drama;2023;Sem Classificacao
ABSOLUTION;Ação, Crime, Thriller, Mistério;2024;16
CAPTAIN AMERICA: BRAVE NEW WORLD;Ação, Thriller, Ficção científica;2025;14
COMPANION;Terror, Ficção científica, Thriller;2025;16
DOG MAN;Família, Comédia, Aventura, Animação, Ação;2025;L
FLOW;Aventura, Animação, Família, Fantasia;2024;L
FÉ PARA O IMPOSSÍVEL;Drama;2025;12
A COMPLETE UNKNOWN;Drama, Música;2024;14
ARMOR;Ação, Crime, Thriller;2024;14
THE BRUTALIST;Drama;2024;18
BRIDGET JONES: MAD ABOUT THE BOY;Romance, Comédia, Drama;2025;14
GOAT;Animação, Comédia, Família;2026;10
GREENLAND 2: MIGRATION;Aventura, Thriller, Ficção científica;2026;14
HOPPERS;Aventura, Animação, Comédia, Família, Ficção científica;2026;10
SCREAM 7;Terror, Mistério, Crime;2026;18
STRAY KIDS: THE DOMINATE EXPERIENCE;Música, Documentário;2026;10
WUTHERING HEIGHTS;Romance, Drama;2026;16
MAURICIO DE SOUSA, O FILME;Drama;2025;L
WHISTLE;Terror, Mistério;2026;18
300: RISE OF AN EMPIRE;Ação, Drama, Guerra;2014;16
ALEMÃO;Ação, Drama, Crime;2014;16
NEED FOR SPEED;Ação, Crime, Drama, Thriller;2014;12
RIO 2;Animação, Aventura, Comédia, Família;2014;L
S.O.S. MULHERES AO MAR;Romance, Comédia;2014;12
THAT AWKWARD MOMENT;Comédia, Romance;2014;Sem Classificacao
LONE SURVIVOR;Guerra, Ação, Drama;2013;16
SAVING MR BANKS;Comédia, Drama, História;2013;10
CINDERELLA;Romance, Fantasia, Família, Drama;2015;L
FOCUS;Romance, Comédia, Crime;2015;14
KINGSMAN: THE SECRET SERVICE;Crime, Comédia, Ação, Aventura;2015;16
SEVENTH SON, THE;Drama;1912;Sem Classificacao
THE DIVERGENT SERIES - INSURGENT;Ação, Ficção científica, Thriller;2015;14
THE LAZARUS EFFECT;Terror, Ficção científica, Thriller;2015;14
LOVE, ROSIE;Romance, Drama, Comédia;2014;14
STILL ALICE;Drama;2014;12
ALLEGIANT;Aventura, Ficção científica, Ação, Mistério;2016;12
BATMAN VS SUPERMAN;Ação, Aventura, Fantasia;2016;12
FIFTY SHADES OF BLACK;Romance, Comédia;2016;14
KUNG FU PANDA 3;Animação, Ação, Aventura, Comédia, Família;2016;L
MY BIG FAT GREEK WEDDING 2;Comédia, Romance;2016;12
